university_name,website,load_timestamp
Asian Institute of Technology,https://www.ait.ac.th/,2026-03-05 00:56:22
Asia-Pacific International University,https://www.apiu.edu/,2026-03-05 00:56:22
Phranakhon Si Ayutthaya Rajabhat University,https://www.aru.ac.th/,2026-03-05 00:56:22
Asian University of Science and Technology,http://www.asianust.ac.th/,2026-03-05 00:56:22
Assumption University of Thailand,https://www.au.edu/,2026-03-05 00:56:22
Bangkok University,https://www.bu.ac.th/,2026-03-05 00:56:22
Burapha University,https://www.buu.ac.th/,2026-03-05 00:56:22
Chiang Mai University,https://www.cmu.ac.th/,2026-03-05 00:56:22
"Rajamangala University of Technology, Lanna Chiang Rai",http://chiangraicampus.rmutl.ac.th/,2026-03-05 00:56:22
Chulalongkorn University,https://www.chula.ac.th/,2026-03-05 00:56:22
Chiang Mai Rajabhat University,https://www.cmru.ac.th/,2026-03-05 00:56:22
Chiang Mai Vocational College,http://www.cmvc.ac.th/,2026-03-05 00:56:22
Chaopraya University,http://www.cpu.ac.th/,2026-03-05 00:56:22
Dhurakijpundit University,https://www.dpu.ac.th/,2026-03-05 00:56:22
Suan Dusit Rajabhat University,http://www.dusit.ac.th/,2026-03-05 00:56:22
Eastern Asia University,https://www.eau.ac.th/,2026-03-05 00:56:22
Asian University,http://www.asianu.ac.th/,2026-03-05 00:56:22
Huachiew Chalermprakiet University,https://www.hcu.ac.th/,2026-03-05 00:56:22
Hatyai University,http://www.hu.ac.th/,2026-03-05 00:56:22
International Buddhist College,https://www.ibc.ac.th/,2026-03-05 00:56:22
Kasem Bundit University,https://www.kbu.ac.th/,2026-03-05 00:56:22
Khon Kaen University,https://www.kku.ac.th/,2026-03-05 00:56:22
King Mongkut's Institute of Technology Ladkrabang,http://www.kmitl.ac.th/,2026-03-05 00:56:22
King Mongkut's University of Technology North Bangkok,https://www.kmutnb.ac.th/,2026-03-05 00:56:22
King Mongkut's University of Technology Thonburi,https://www.kmutt.ac.th/,2026-03-05 00:56:22
Krirk University,https://www.krirk.ac.th/,2026-03-05 00:56:22
Kasetsart University,https://www.ku.ac.th/,2026-03-05 00:56:22
Lampang Vocational College,http://www.lampangvc.ac.th/,2026-03-05 00:56:22
Lamphun College of Agriculture and Technology,http://www.lcat.ac.th/,2026-03-05 00:56:22
Lampang College of Commerce and Technology,http://www.lcct.ac.th/,2026-03-05 00:56:22
Lampang Rajabhat University,https://www.lpru.ac.th/,2026-03-05 00:56:22
Mahidol University,https://www.mahidol.ac.th/,2026-03-05 00:56:22
Mahamakut Buddhist University,http://www.mbu.ac.th/,2026-03-05 00:56:22
Mahachulalongkorn Buddhist University,https://www.mcu.ac.th/,2026-03-05 00:56:22
Mae Fah Luang University,https://www.mfu.ac.th/,2026-03-05 00:56:22
Maejo University,https://www.mju.ac.th/,2026-03-05 00:56:22
Mahasarakham University,http://www.msu.ac.th/,2026-03-05 00:56:22
Mahidol University International College,https://www.muic.mahidol.ac.th/,2026-03-05 00:56:22
Mahanakorn University of Technology,http://www.mut.ac.th/,2026-03-05 00:56:22
"Rajamangala University of Technology, Lanna Nan",https://www.nan.rmutl.ac.th/,2026-03-05 00:56:22
National Institute of Development Administration,http://www.nida.ac.th/,2026-03-05 00:56:22
Nivadhana University,http://www.nivadhana.ac.th/,2026-03-05 00:56:22
Naresuan University,https://www.nu.ac.th/,2026-03-05 00:56:22
Payap University Chaiang Mai,https://www.payap.ac.th/,2026-03-05 00:56:22
Prince of Songkla University,https://www.psu.ac.th/,2026-03-05 00:56:22
Pathumthani University,https://www.ptu.ac.th/,2026-03-05 00:56:22
"Rajamangala University of Technology, Phra Nakhon",https://www.rmutp.ac.th/,2026-03-05 00:56:22
Rangsit University,https://www2.rsu.ac.th/,2026-03-05 00:56:22
Ramkhamhaeng University,https://www.ru.ac.th/,2026-03-05 00:56:22
South-East Asia University,https://www.sau.ac.th/,2026-03-05 00:56:22
Shinawatra University,http://www.shinawatra.ac.th/,2026-03-05 00:56:22
Siam University,https://www.siam.edu/,2026-03-05 00:56:22
Sripatum University,https://www.spu.ac.th/,2026-03-05 00:56:22
Stamford International University,https://www.stamford.edu/,2026-03-05 00:56:22
St. John's University,https://www.stjohn.ac.th/,2026-03-05 00:56:22
Sukhothai Thammathirat Open University,https://www.stou.ac.th/,2026-03-05 00:56:22
Silpakorn University,https://www.su.ac.th/,2026-03-05 00:56:22
Suranaree University of Technology,http://www.sut.ac.th/,2026-03-05 00:56:22
Srinakharinwirot University,https://www.swu.ac.th/,2026-03-05 00:56:22
Thaksin University,https://www.tsu.ac.th/,2026-03-05 00:56:22
Thammasat University,https://www.tu.ac.th/,2026-03-05 00:56:22
Ubonratchathani University,https://www.ubu.ac.th/,2026-03-05 00:56:22
University of the Thai Chamber of Commerce,https://www.utcc.ac.th/,2026-03-05 00:56:22
Vongchavalitkul University,https://www.vu.ac.th/,2026-03-05 00:56:22
"Webster University, Thailand",https://www.webster.ac.th/,2026-03-05 00:56:22
Walailak University,https://www.wu.ac.th/,2026-03-05 00:56:22
Nation University,http://www.nation.ac.th/,2026-03-05 00:56:22
